subject,mean_accuracy,std_accuracy,min_fold_accuracy,max_fold_accuracy
1,0.6748683255621276,0.07285758110283577,0.5434782608695652,0.7727272727272727
2,0.49536030595813213,0.08180496230259961,0.3541666666666667,0.575
3,0.702362658875937,0.12897819652438502,0.5217391304347826,0.9574468085106383
4,0.47331732107241437,0.059095121881026495,0.425531914893617,0.6
5,0.41420912656331527,0.0554626744709465,0.32608695652173914,0.4634146341463415
6,0.41370818653452296,0.04460137904233881,0.3448275862068966,0.4634146341463415
7,0.450623078612209,0.07319123607522854,0.32608695652173914,0.5454545454545454
8,0.6911283376399656,0.11855018806489784,0.4666666666666667,0.8372093023255814
9,0.7355888347544316,0.10303311620859644,0.5135135135135135,0.8292682926829268
