subject,mean_accuracy,std_accuracy
1,0.6981818181818182,0.04468438446343459
2,0.5407407407407406,0.06350528962771204
3,0.662962962962963,0.05289946984105813
4,0.4320754716981132,0.045791173960421115
5,0.3358490566037736,0.04285968562868132
6,0.3818181818181818,0.10102777623133123
7,0.6690909090909091,0.06235064799811728
8,0.6584905660377357,0.06721325709644106
9,0.5895833333333333,0.05515917622864053
