subject,mean_accuracy_baseline,std_accuracy_baseline,mean_accuracy_eegnet,std_accuracy_eegnet,min_fold_accuracy,max_fold_accuracy,diff,meaningful_win
1,0.6981818181818182,0.0446843844634345,0.6748683255621276,0.07285758110283577,0.5434782608695652,0.7727272727272727,-0.023313492619690623,False
2,0.5407407407407406,0.063505289627712,0.49536030595813213,0.08180496230259961,0.3541666666666667,0.575,-0.0453804347826085,False
3,0.662962962962963,0.0528994698410581,0.702362658875937,0.12897819652438502,0.5217391304347826,0.9574468085106383,0.03939969591297399,False
4,0.4320754716981132,0.0457911739604211,0.47331732107241437,0.059095121881026495,0.425531914893617,0.6,0.04124184937430114,False
5,0.3358490566037736,0.0428596856286813,0.41420912656331527,0.0554626744709465,0.32608695652173914,0.4634146341463415,0.07836006995954165,True
6,0.3818181818181818,0.1010277762313312,0.41370818653452296,0.04460137904233881,0.3448275862068966,0.4634146341463415,0.03189000471634118,False
7,0.6690909090909091,0.0623506479981172,0.450623078612209,0.07319123607522854,0.32608695652173914,0.5454545454545454,-0.21846783047870005,True
8,0.6584905660377357,0.067213257096441,0.6911283376399656,0.11855018806489784,0.4666666666666667,0.8372093023255814,0.032637771602229915,False
9,0.5895833333333333,0.0551591762286405,0.7355888347544316,0.10303311620859644,0.5135135135135135,0.8292682926829268,0.14600550142109825,True
