subject,val_accuracy
1,0.7111111111111111
2,0.55
3,0.6808510638297872
4,0.5116279069767442
5,0.43478260869565216
6,0.5517241379310345
7,0.5833333333333334
8,0.6888888888888889
9,0.6666666666666666
